+-----------------------+----------------------------+----------------------------------+--------------+----------------------------------------+----------------------------+-----------------------------------------+
| ΑΜΚΑ_ΙΑΤΡΟΥ           | ΟΝΟΜΑ                      | ΕΠΩΝΥΜΟ                          | ΗΛΙΚΙΑ       | ΕΙΔΙΚΟΤΗΤΑ                             | ΒΑΘΜΙΔΑ                    | ΑΡΙΘΜΟΣ_ΧΕΙΡΟΥΡΓΕΙΩΝ                    |
+-----------------------+----------------------------+----------------------------------+--------------+----------------------------------------+----------------------------+-----------------------------------------+
| 15089313415           | Βασίλης                    | Κούτσικος                        |           32 | Οφθαλμίατρος                           | Ειδικευόμενος              |                                      26 |
| 14069134476           | Ξανθός                     | Γκατζογιάννης                    |           34 | Νευρολόγος                             | Ειδικευόμενος              |                                      24 |
| 14129667272           | Χρυσοβαλάντου              | Πίσπα                            |           29 | Γαστρεντερολόγος                       | Διευθυντής                 |                                      23 |
| 06029531543           | Κύρος                      | Νταβάς                           |           31 | Εντατικολόγος                          | Επιμελητής Β΄              |                                      22 |
| 18129126343           | Αμαλία                     | Μπατζάνη                         |           34 | Νευρολόγος                             | Επιμελητής Β΄              |                                      22 |
| 22119346740           | Νικολέτα                   | Δημητριάδου                      |           32 | Χειρουργός                             | Διευθυντής                 |                                      21 |
| 10049339021           | Ιουλία                     | Ξενάκη                           |           33 | Γαστρεντερολόγος                       | Διευθυντής                 |                                      21 |
| 16109345548           | Φίλιππος                   | Γραμματικόπουλος                 |           32 | Ογκολόγος                              | Ειδικευόμενος              |                                      21 |
| 05049768181           | Έξαρχος                    | Σκαρπέτας                        |           29 | Ενδοκρινολόγος                         | Ειδικευόμενος              |                                      21 |
| 06099492644           | Πασχάλης                   | Τάσιος                           |           31 | Χειρουργός                             | Επιμελητής Α΄              |                                      21 |
| 24019677239           | Διδώ                       | Ανανιάδου                        |           30 | Νευρολόγος                             | Επιμελητής Β΄              |                                      20 |
| 27119257618           | Σελήνη                     | Παπανώτα                         |           33 | Χειρουργός                             | Διευθυντής                 |                                      20 |
| 19089441808           | Ηλιάνα                     | Δούβαλη                          |           31 | Ουρολόγος                              | Επιμελητής Β΄              |                                      20 |
| 30119373023           | Οδυσσεύς                   | Ανδρουλάκης                      |           32 | Γαστρεντερολόγος                       | Διευθυντής                 |                                      20 |
| 29059101028           | Ευμένιος                   | Μωρός                            |           34 | Επειγοντολόγος                         | Επιμελητής Β΄              |                                      20 |
| 28069770513           | Θεμιστόκλεια               | Πετράκη                          |           28 | Ουρολόγος                              | Επιμελητής Α΄              |                                      19 |
| 17019766619           | Κλέαρχος                   | Χριστάρας                        |           29 | Πνευμονολόγος                          | Επιμελητής Α΄              |                                      19 |
| 09059880683           | Πύρρος                     | Κωτσικόρης                       |           28 | Πνευμονολόγος                          | Διευθυντής                 |                                      19 |
| 16059786000           | Ζαφείριος                  | Λαμπρινός                        |           28 | Οφθαλμίατρος                           | Επιμελητής Α΄              |                                      19 |
| 18129153702           | Τιμοθέα                    | Αβραμπέκη                        |           34 | Καρδιολόγος                            | Ειδικευόμενος              |                                      19 |
| 05089236138           | Ζήνων                      | Γιαννακίτσας                     |           33 | Επειγοντολόγος                         | Διευθυντής                 |                                      18 |
| 22029664129           | Λυδία                      | Αλεξανδρίδου                     |           30 | Ορθοπεδικός                            | Ειδικευόμενος              |                                      18 |
| 21069557118           | Ιγνατία                    | Θασίτου                          |           30 | Νευρολόγος                             | Επιμελητής Α΄              |                                      18 |
| 08119237145           | Καλλίνικος                 | Ορφανάκης                        |           33 | Πνευμονολόγος                          | Επιμελητής Β΄              |                                      18 |
| 08029531584           | Λυδία                      | Κουμάρα                          |           31 | Χειρουργός                             | Επιμελητής Β΄              |                                      18 |
| 07059635194           | Αλκμήνη                    | Βρακά                            |           30 | Χειρουργός                             | Επιμελητής Α΄              |                                      18 |
| 28119797435           | Γιώργος                    | Τσέγας                           |           28 | Γυναικολόγος                           | Επιμελητής Β΄              |                                      18 |
| 28039615949           | Κομνηνή                    | Δαματοπούλου                     |           30 | Καρδιολόγος                            | Ειδικευόμενος              |                                      17 |
| 10119544536           | Διδώ                       | Γκιριτζιώνη                      |           30 | Γαστρεντερολόγος                       | Ειδικευόμενος              |                                      17 |
| 25099700743           | Μυρτώ                      | Συμεωνίδου                       |           28 | Εντατικολόγος                          | Ειδικευόμενος              |                                      17 |
| 01069668547           | Κρινιώ                     | Μάρα                             |           29 | Νευρολόγος                             | Επιμελητής Α΄              |                                      17 |
| 18059690482           | Βερόνικα                   | Φειζατίδου                       |           29 | Εντατικολόγος                          | Επιμελητής Α΄              |                                      16 |
| 11039318228           | Μιράντα                    | Συνοδινού                        |           33 | Ορθοπεδικός                            | Επιμελητής Β΄              |                                      16 |
| 03019313683           | Δούκισσα                   | Γιανναρά                         |           33 | Γυναικολόγος                           | Επιμελητής Β΄              |                                      16 |
| 11059679828           | Ευστάθιος                  | Κουτσογιάννης                    |           30 | Καρδιολόγος                            | Επιμελητής Α΄              |                                      15 |
| 17129299420           | Πλάτων                     | Μάνος                            |           33 | Ογκολόγος                              | Επιμελητής Α΄              |                                      15 |
| 23099378542           | Τσαμπίκος                  | Κωνσταντόπουλος                  |           32 | Ογκολόγος                              | Ειδικευόμενος              |                                      15 |
| 19039871516           | Ματρώνη                    | Χατζηβλασίου                     |           28 | Ενδοκρινολόγος                         | Επιμελητής Β΄              |                                      15 |
| 25049476210           | Πηνελόπη                   | Τουρνά                           |           32 | Γαστρεντερολόγος                       | Διευθυντής                 |                                      15 |
| 06049597744           | Ρούσα                      | Φουρκιώτη                        |           31 | Οφθαλμίατρος                           | Ειδικευόμενος              |                                      15 |
| 28099509299           | Αγλαΐα                     | Μακρή                            |           30 | Παιδίατρος                             | Επιμελητής Β΄              |                                      14 |
| 17039704693           | Μαλαματένια                | Μιχαλάρου                        |           29 | Ορθοπεδικός                            | Ειδικευόμενος              |                                      14 |
| 27029374444           | Πολύκαρπος                 | Γεντίμης                         |           33 | Καρδιολόγος                            | Ειδικευόμενος              |                                      14 |
| 05019390496           | Σεραφείμ                   | Καλαϊτζάκης                      |           33 | Ωτορινολαρυγγολόγος                    | Ειδικευόμενος              |                                      14 |
| 31089256432           | Σεραφείμ                   | Τσέγας                           |           33 | Γυναικολόγος                           | Επιμελητής Β΄              |                                      14 |
| 24049254066           | Ιωάννης                    | Μποφός                           |           34 | Ωτορινολαρυγγολόγος                    | Ειδικευόμενος              |                                      14 |
| 12039496690           | Μαυροειδής                 | Κατάκης                          |           32 | Ορθοπεδικός                            | Ειδικευόμενος              |                                      14 |
| 26089366217           | Ιγνάτιος                   | Ότσος                            |           32 | Πνευμονολόγος                          | Επιμελητής Α΄              |                                      13 |
| 20099323123           | Ιουλιανή                   | Σαλέμη                           |           32 | Γυναικολόγος                           | Επιμελητής Α΄              |                                      13 |
| 07129234335           | Θεοπίστη                   | Γκόνη                            |           33 | Ορθοπεδικός                            | Διευθυντής                 |                                      13 |
| 25059644989           | Πυθαγόρας                  | Πετρόπουλος                      |           29 | Επειγοντολόγος                         | Ειδικευόμενος              |                                      13 |
| 03119254533           | Αταλάντη                   | Ασλανίδου                        |           33 | Γυναικολόγος                           | Επιμελητής Β΄              |                                      13 |
| 12099473786           | Αγλαΐα                     | Τσαχάκη                          |           31 | Ωτορινολαρυγγολόγος                    | Επιμελητής Β΄              |                                      13 |
| 06029788611           | Βελισσάριος                | Καφαντάρης                       |           29 | Χειρουργός                             | Επιμελητής Β΄              |                                      12 |
| 05119409598           | Προμηθέας                  | Καραγρηγορίου                    |           31 | Ουρολόγος                              | Επιμελητής Β΄              |                                      12 |
| 24029299560           | Βενέτιος                   | Φωκαδελής                        |           34 | Ενδοκρινολόγος                         | Επιμελητής Β΄              |                                      12 |
| 30019214666           | Χρυσόστομος                | Μόκας                            |           34 | Παιδίατρος                             | Ειδικευόμενος              |                                      11 |
| 04029856598           | Σάρρα                      | Δαΐκου                           |           28 | Ογκολόγος                              | Ειδικευόμενος              |                                       9 |
+-----------------------+----------------------------+----------------------------------+--------------+----------------------------------------+----------------------------+-----------------------------------------+
58 rows in set (0.182 sec)
