+-----------------------+----------------------------+------------------------------------+-----------------------------------------+
| ΑΜΚΑ_ΙΑΤΡΟΥ           | ΟΝΟΜΑ                      | ΕΠΩΝΥΜΟ                            | ΑΡΙΘΜΟΣ_ΧΕΙΡΟΥΡΓΕΙΩΝ                    |
+-----------------------+----------------------------+------------------------------------+-----------------------------------------+
| 17019766619           | Κλέαρχος                   | Χριστάρας                          |                                       8 |
| 16018375492           | Ησαΐας                     | Μόναχας                            |                                       8 |
| 06036691277           | Αργυρούλα                  | Χριστοδούλου                       |                                       8 |
| 13026496570           | Μαρίνος                    | Φερεντίνος                         |                                       8 |
| 21098277611           | Κυπριανός                  | Λάτσκος                            |                                       8 |
| 09126791455           | Αγαμέμνων                  | Μάνος                              |                                       8 |
| 24058017759           | Ευκλείδης                  | Πλακωτάρης                         |                                       8 |
| 25118211585           | Ροδάνθη                    | Κουμάρα                            |                                       8 |
| 28087726314           | Τριαντάφυλλος              | Γιαννάκης                          |                                       8 |
| 19086960349           | Ιωσήφ                      | Σολακούδης                         |                                       8 |
| 14129667272           | Χρυσοβαλάντου              | Πίσπα                              |                                       8 |
| 28026160536           | Αργύριος                   | Δανιηλίδης                         |                                       8 |
| 24049254066           | Ιωάννης                    | Μποφός                             |                                       8 |
| 15096335065           | Ροδαμάνθη                  | Τσιπλίκωφ                          |                                       8 |
| 12038855552           | Ίων                        | Γκίκας                             |                                       8 |
| 19076198206           | Ερατώ                      | Γκάγκα                             |                                       8 |
| 28018824724           | Φώτιος                     | Βελεντζάς                          |                                       8 |
| 29108560370           | Αλκινόη                    | Κυριάκου                           |                                       8 |
| 21069557118           | Ιγνατία                    | Θασίτου                            |                                       8 |
| 20046696886           | Αβραάμ                     | Ζώνιος                             |                                       8 |
| 18129153702           | Τιμοθέα                    | Αβραμπέκη                          |                                       8 |
| 05049768181           | Έξαρχος                    | Σκαρπέτας                          |                                       8 |
| 06128526235           | Βλάσιος                    | Λαουρδέκης                         |                                       8 |
| 24096507164           | Επαμεινώνδας               | Σκαρλάτος                          |                                       8 |
