ΑΜΚΑ_ΔΙΟΙΚΗΤΙΚΟΥ,ΡΟΛΟΣ,ΓΡΑΦΕΙΟ_ΕΡΓΑΣΙΑΣ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
22068549109,Γραμματέας,Γραφείο 211,Επείγοντα
24019537327,Γραμματέας,Γραφείο 294,ΩΡΛ
09037229373,Γραμματέας,Γραφείο 205,Οφθαλμολογία
14116970498,Γραμματέας,Γραφείο 452,Γαστρεντερολογία
02057856361,Υπάλληλος Υποδοχής,Γραφείο 499,Γαστρεντερολογία
01099739044,Υπάλληλος Υποδοχής,Γραφείο 377,Γαστρεντερολογία
05026238460,Γραμματέας,Γραφείο 494,Ουρολογία
03089265417,Υπάλληλος Υποδοχής,Γραφείο 251,Οφθαλμολογία
24026365196,Γραμματέας,Γραφείο 369,ΩΡΛ
19036395052,Υπάλληλος Υποδοχής,Γραφείο 463,Γυναικολογία
18076329356,Υπάλληλος Υποδοχής,Γραφείο 486,Γυναικολογία
07010039098,Λογιστής,Γραφείο 221,Νευρολογία
23046979828,Υπάλληλος Υποδοχής,Γραφείο 485,ΩΡΛ
13126695715,Λογιστής,Γραφείο 140,Καρδιολογία
02120095990,Λογιστής,Γραφείο 123,Πνευμονολογία
19078694844,Γραμματέας,Γραφείο 140,Επείγοντα
15026765760,Λογιστής,Γραφείο 222,Καρδιολογία
20116193875,Λογιστής,Γραφείο 206,Επείγοντα
16089711199,Γραμματέας,Γραφείο 489,ΩΡΛ
27036319627,Γραμματέας,Γραφείο 276,Επείγοντα
15078813564,Γραμματέας,Γραφείο 244,Γαστρεντερολογία
02058322911,Υπάλληλος Υποδοχής,Γραφείο 306,ΜΕΘ
31086146127,Λογιστής,Γραφείο 384,Επείγοντα
18069980928,Λογιστής,Γραφείο 483,Επείγοντα
15097462184,Υπάλληλος Υποδοχής,Γραφείο 419,Γυναικολογία
27127441655,Υπάλληλος Υποδοχής,Γραφείο 194,Ενδοκρινολογία
12096045767,Γραμματέας,Γραφείο 426,ΩΡΛ
29067492365,Λογιστής,Γραφείο 273,Ενδοκρινολογία
15128289767,Υπάλληλος Υποδοχής,Γραφείο 475,Πνευμονολογία
12017831663,Λογιστής,Γραφείο 282,Γαστρεντερολογία
24118100064,Λογιστής,Γραφείο 355,Καρδιολογία
09116401215,Υπάλληλος Υποδοχής,Γραφείο 413,Καρδιολογία
28018712927,Λογιστής,Γραφείο 408,Γυναικολογία
17126815889,Υπάλληλος Υποδοχής,Γραφείο 420,Γυναικολογία
23108566165,Λογιστής,Γραφείο 331,ΜΕΘ
30038446143,Λογιστής,Γραφείο 178,Νευρολογία
25068715578,Υπάλληλος Υποδοχής,Γραφείο 368,Χειρουργική
18026483619,Υπάλληλος Υποδοχής,Γραφείο 281,Παιδιατρική
30038275343,Γραμματέας,Γραφείο 216,Νευρολογία
05107951647,Λογιστής,Γραφείο 142,ΜΕΘ
22057255499,Υπάλληλος Υποδοχής,Γραφείο 377,Πνευμονολογία
31079178446,Υπάλληλος Υποδοχής,Γραφείο 318,Ενδοκρινολογία
01077766007,Λογιστής,Γραφείο 455,Επείγοντα
09067983298,Υπάλληλος Υποδοχής,Γραφείο 161,ΩΡΛ
06076944552,Υπάλληλος Υποδοχής,Γραφείο 451,Παιδιατρική
02078885574,Λογιστής,Γραφείο 452,Ενδοκρινολογία
16038610700,Υπάλληλος Υποδοχής,Γραφείο 413,Χειρουργική
