ΑΜΚΑ_ΒΟΗΘΟΥ,ΑΜΚΑ_ΑΣΘΕΝΗ,ΚΩΔΙΚΟΣ_ΠΡΑΞΗΣ,ΗΜΕΡΟΜΗΝΙΑ_ΩΡΑ
24048903716,17064307808,X669917,2026-06-21 07:29:13
02038186264,25038315978,X714627,2025-01-26 13:16:57
02097580827,07120703275,X688285,2026-06-24 20:52:34
19029442004,12034298650,X678039,2024-10-07 12:56:52
09058303960,07026513142,A403651,2024-09-30 04:38:24
14116970498,25017266961,B315947,2025-02-02 17:16:12
24128760642,23031223513,B315981,2025-05-05 12:40:01
16066288202,30033478998,X627289,2026-09-21 09:04:53
25119412075,02024472286,X683959,2026-03-11 15:37:08
01099600492,02101590063,X634929,2024-03-27 06:55:33
14107187228,27059353247,B313605.26,2024-06-11 06:03:10
17116460629,03016348314,Β315905.53,2025-11-18 16:53:13
19026775246,23084544014,B316705.95,2024-12-08 18:32:18
18088196096,04101447500,X628559,2025-03-02 14:40:28
01099739044,28016405364,X603969,2026-07-07 21:31:40
27038868673,23012461353,X666433,2024-12-06 07:46:34
24028237708,23019283151,X718249,2024-08-03 07:53:12
02036522626,06102355649,X631957.205,2026-08-07 15:18:53
03018397570,12083616382,X697279,2024-04-14 07:07:42
18090094593,30116708519,X685161,2025-07-22 01:14:20
31056269522,21073922728,X648361,2025-02-14 22:56:39
29059459431,22024865046,X621183,2025-08-12 21:15:41
27039198147,28125598885,X634867,2024-06-30 11:49:30
31059975972,01023902070,X633937.194,2026-03-17 19:17:23
22029134563,11089162589,X628209,2025-03-01 21:45:31
13026249879,09103419413,X659049,2024-09-11 16:55:06
03086348216,22018294259,X602359,2024-01-28 04:22:11
18128340575,07040290771,B316705.122,2025-11-14 01:51:04
10066642723,05099559264,X650911,2024-11-26 00:53:39
12017727071,16037872624,X703045,2026-06-26 17:36:38
30117815887,30116708519,B314965,2024-06-21 12:37:45
26057814467,12021118955,X635211,2024-10-14 16:37:12
02077108433,20076803695,X698019,2026-08-16 04:57:23
06106702650,16099607303,B316531,2026-07-31 12:58:01
17086545716,10114835444,X627289,2026-10-09 04:49:05
26076648963,24093211367,A400441,2026-08-30 00:22:34
16098922011,12076135954,X715771,2026-12-06 02:14:07
30066643000,23047312568,X685161,2025-05-26 20:18:23
09127911828,25022542708,X623179,2025-05-04 12:07:10
04049877134,08078699710,Β311905.125,2025-11-14 13:21:01
24107206566,11048905152,X633937.6,2025-09-10 01:35:21
21107026591,31089931569,B313605.183,2024-07-09 23:38:59
27016538344,30082467367,X633937.205,2025-08-02 16:40:14
03126963930,04066898843,X697303,2025-11-10 05:19:44
27016538344,02099330560,X634497,2025-02-04 15:46:26
19119585662,06117291642,B308207,2024-12-29 19:40:49
26057814467,14091993726,B316705.74,2024-03-14 22:33:03
30058019899,02068127263,B313605.138,2025-02-24 05:17:40
06057825654,08058092015,B304617,2024-02-03 08:25:10
27038868673,03109010360,A403723,2024-10-09 09:12:17
16058088797,03047081459,X688181,2026-02-01 03:34:53
10098802211,11056862615,X654327,2024-05-31 06:26:05
31038701390,14111679785,X655395,2025-03-28 06:29:55
09037229373,21033416510,X638039,2026-12-06 18:47:07
25059138149,22078019963,X635007,2026-10-01 10:37:06
07029554131,26075455327,K511905,2026-08-31 17:34:46
12126334304,05056443083,X645957.14,2026-08-24 09:58:20
25126627516,12117119364,X716683,2025-09-28 18:38:32
12126334304,20078446376,X658957.18,2025-02-28 10:58:11
13049573563,30118417858,X645663,2026-10-07 10:47:56
26067992049,24025283929,X666173,2026-08-09 08:56:30
18079137617,30043373061,K516391,2024-12-03 02:07:37
03116493443,06113516882,B313605.226,2026-11-25 03:57:20
04096470957,15057174799,B313605.21,2025-11-05 03:56:33
01019214971,31057368172,B313861,2025-07-21 22:41:32
04027352612,20086057742,B313605.297,2026-12-18 22:14:18
31059975972,27108248107,B305057,2024-03-13 20:58:57
01078222862,12061757941,X681415,2025-10-20 15:44:37
27116381556,06078478463,B310399,2024-03-05 15:36:17
05107951647,24089531378,K506393,2026-11-24 22:09:24
18048136821,25103326724,B308865,2025-01-17 23:03:17
03126551214,03087703516,B313377,2025-06-12 02:16:31
18039105982,07105034526,X611111,2024-10-16 03:35:42
07126830003,26103795131,X663757.37,2026-03-30 21:43:03
07017002380,23089263220,X704199,2025-05-20 03:24:56
12106789983,16024530261,X620161,2026-08-23 20:39:46
29018364310,25048730564,X611111,2026-02-27 07:00:31
21036855841,18117708129,X611643,2025-05-17 09:24:51
03067202384,15061532438,K501073,2026-03-31 20:56:36
10047575259,27031956248,B313461,2025-04-10 03:58:28
27127441655,25019427306,X603245,2025-01-03 12:08:29
03079784188,03029875010,B304215,2024-02-05 16:18:25
27089112158,09080893956,X703331,2024-05-24 08:59:38
01058889994,12041616497,K514135,2024-09-04 17:40:57
13087594481,16014138329,X702603,2024-09-07 10:40:00
18090094593,07045485175,K502041,2024-09-17 08:35:29
07126830003,27023869045,K508351,2026-02-23 05:52:01
30118698533,24118782335,X646963,2025-12-14 00:09:37
29018720992,31127252570,B313605.393,2026-09-02 01:59:44
11019480682,15028075336,B307967,2024-02-08 17:49:13
12057413455,27030459534,X633937.73,2026-12-21 01:43:07
26056031201,05068798226,X637469,2025-01-15 20:27:40
31077414694,25093553377,X697065,2024-07-01 14:52:01
27038876062,10025341854,X634839,2026-05-01 23:57:56
09058303960,30074960387,B313605,2024-08-31 06:03:30
14027204472,10017872917,X681459,2024-09-06 03:09:59
14048580529,25010113430,X633937.201,2025-01-04 03:41:11
01099739044,08071059674,X652449,2024-08-23 04:13:37
26017065899,09126507357,X603981,2024-05-04 20:04:36
03037926963,27095953023,X709169,2026-04-23 18:08:49
15106199373,21129343586,X711521,2025-01-01 17:46:39
29067492365,17020431077,A403501,2024-05-02 20:12:10
01026474429,06121327292,X633937.77,2024-03-31 05:43:03
05069279544,14015365718,X683957.21,2025-05-03 04:22:49
12097182585,11085306957,Β311905.176,2024-11-07 11:48:20
12029214112,27118048323,X691757,2025-06-18 16:49:09
12046562974,16065204714,X666205,2024-02-08 07:23:49
11017293008,17076317357,K514149.17,2026-04-22 21:43:18
19046880487,13068607573,X647829,2026-08-23 09:05:38
04027088201,29084696304,X602069,2024-06-01 10:50:20
06088858657,22047217174,X663757.24,2026-01-01 09:07:02
26119233090,01103898454,X668369,2025-02-08 10:52:18
