ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ,ΠΕΡΙΓΡΑΦΗ,ΑΡΙΘΜΟΣ_ΚΛΙΝΩΝ,ΟΡΟΦΟΣ_ΚΤΙΡΙΟ,ΑΜΚΑ_ΔΙΕΥΘΥΝΤΗ_ΤΜΗΜΑΤΟΣ
Καρδιολογία,Διάγνωση και συντηρητική θεραπεία παθήσεων του καρδιαγγειακού συστήματος.,40,Όροφος 3,17059777666
Χειρουργική,Αντιμετώπιση περιστατικών που απαιτούν επεμβατική θεραπεία.,44,Όροφος 2,04049765143
ΜΕΘ,Εντατική παρακολούθηση και υποστήριξη ζωτικών λειτουργιών βαρέως πασχόντων.,24,Όροφος 1,31127128715
Επείγοντα,Άμεση αντιμετώπιση και διαλογή (Triage) οξέων ιατρικών περιστατικών.,35,Όροφος 2,25059138149
Ορθοπεδική,Θεραπεία παθήσεων και τραυματισμών του μυοσκελετικού συστήματος.,34,Όροφος 2,25067343186
Παιδιατρική,"Πρωτοβάθμια και δευτεροβάθμια ιατρική φροντίδα βρεφών, παιδιών και εφήβων.",15,Όροφος 3,07077275306
Γυναικολογία,Παρακολούθηση κύησης και παθήσεων γυναικείου αναπαραγωγικού συστήματος.,49,Όροφος 1,06067129338
Νευρολογία,Διάγνωση και θεραπεία διαταραχών του νευρικού συστήματος.,43,Όροφος 2,18098586120
Ογκολογία,Ολοκληρωμένη φροντίδα και χημειοθεραπεία ασθενών με νεοπλασίες.,26,Όροφος 1,20056259580
Πνευμονολογία,Διάγνωση και αντιμετώπιση παθήσεων του αναπνευστικού συστήματος.,47,Όροφος 4,28126455528
Ουρολογία,Αντιμετώπιση παθήσεων ουροποιητικού και ανδρικού αναπαραγωγικού συστήματος.,18,Όροφος 1,24127417202
Οφθαλμολογία,Κλινική εξέταση και μικροχειρουργική θεραπεία παθήσεων των οφθαλμών.,24,Όροφος 4,14117875826
ΩΡΛ,"Διάγνωση και θεραπεία παθήσεων αυτιού, μύτης και λάρυγγα.",27,Όροφος 1,18098586120
Γαστρεντερολογία,Ενδοσκοπικός έλεγχος και αντιμετώπιση παθήσεων πεπτικού συστήματος.,16,Όροφος 5,18098586120
Ενδοκρινολογία,"Θεραπεία ορμονικών διαταραχών, σακχαρώδους διαβήτη και θυρεοειδούς.",16,Όροφος 1,14076889096
