ΑΜΚΑ_ΙΑΤΡΟΥ,ΑΡΙΘΜΟΣ_ΑΔΕΙΑΣ_ΙΣ,ΕΙΔΙΚΟΤΗΤΑ,ΒΑΘΜΙΔΑ,ΑΜΚΑ_ΕΠΟΠΤΗ
10086060998,MED-286490,Πνευμονολόγος,Επιμελητής Β΄,17129595144
24127184919,MED-093072,Καρδιολόγος,Διευθυντής,
20027156874,MED-899751,Ωτορινολαρυγγολόγος,Επιμελητής Α΄,
08117665345,MED-008685,Επειγοντολόγος,Επιμελητής Α΄,
02119001109,MED-066787,Νευρολόγος,Ειδικευόμενος,15128940931
04096470957,MED-695910,Πνευμονολόγος,Επιμελητής Β΄,14076889096
17019408693,MED-816400,Οφθαλμίατρος,Επιμελητής Β΄,16098922011
13129208275,MED-708215,Γαστρεντερολόγος,Διευθυντής,
15027849121,MED-944419,Καρδιολόγος,Διευθυντής,
08078996446,MED-553482,Νευρολόγος,Ειδικευόμενος,13019511418
14076889096,MED-498431,Ορθοπεδικός,Διευθυντής,
07086512984,MED-008140,Εντατικολόγος,Ειδικευόμενος,03117001638
11019339247,MED-722420,Ογκολόγος,Επιμελητής Β΄,07077275306
17129595144,MED-120427,Γαστρεντερολόγος,Επιμελητής Α΄,
30068836428,MED-600141,Οφθαλμίατρος,Επιμελητής Α΄,
27116381556,MED-038550,Χειρουργός,Επιμελητής Β΄,29018720992
04049877134,MED-504884,Εντατικολόγος,Ειδικευόμενος,02018629858
31018504386,MED-068724,Ογκολόγος,Επιμελητής Α΄,
29048747950,MED-660532,Νευρολόγος,Επιμελητής Β΄,03126963930
03097463750,MED-851054,Ενδοκρινολόγος,Επιμελητής Β΄,
31056269522,MED-511935,Ουρολόγος,Επιμελητής Β΄,13019416697
07068540070,MED-764679,Ορθοπεδικός,Επιμελητής Β΄,
18098586120,MED-762146,Ωτορινολαρυγγολόγος,Διευθυντής,
11087036989,MED-120629,Χειρουργός,Διευθυντής,
08046234626,MED-552325,Γυναικολόγος,Ειδικευόμενος,05056159470
13036214191,MED-763325,Γαστρεντερολόγος,Ειδικευόμενος,28068899789
06127921077,MED-689498,Εντατικολόγος,Επιμελητής Β΄,28126455528
01037803167,MED-636644,Νευρολόγος,Ειδικευόμενος,07119294567
11029101695,MED-929804,Καρδιολόγος,Ειδικευόμενος,02097580827
14107187228,MED-820114,Γαστρεντερολόγος,Επιμελητής Β΄,
26049275048,MED-147512,Παιδίατρος,Ειδικευόμενος,03116493443
07079445783,MED-499909,Οφθαλμίατρος,Ειδικευόμενος,06067129338
21046521057,MED-197002,Ογκολόγος,Επιμελητής Β΄,15128940931
05056159470,MED-100589,Ογκολόγος,Επιμελητής Α΄,
20039428891,MED-313154,Παιδίατρος,Ειδικευόμενος,27038876062
27058235299,MED-629367,Εντατικολόγος,Επιμελητής Β΄,15068957567
09077793434,MED-878542,Επειγοντολόγος,Ειδικευόμενος,28027843113
03047764549,MED-505760,Ουρολόγος,Επιμελητής Α΄,
25086572696,MED-139362,Ωτορινολαρυγγολόγος,Επιμελητής Β΄,13049344733
25066070679,MED-063101,Ουρολόγος,Επιμελητής Β΄,28126455528
21116234129,MED-836916,Καρδιολόγος,Ειδικευόμενος,31077414694
26026494790,MED-263674,Γυναικολόγος,Ειδικευόμενος,17019408693
05059061176,MED-530957,Επειγοντολόγος,Ειδικευόμενος,22056473676
20047493220,MED-656006,Γαστρεντερολόγος,Διευθυντής,
07119294567,MED-647939,Επειγοντολόγος,Επιμελητής Α΄,
06067883458,MED-713792,Γαστρεντερολόγος,Ειδικευόμενος,21056659269
10116142591,MED-899673,Χειρουργός,Επιμελητής Β΄,14117875826
07067536585,MED-053867,Ουρολόγος,Επιμελητής Β΄,24128760642
08066384048,MED-339739,Γυναικολόγος,Επιμελητής Β΄,06027984112
07077275306,MED-357550,Εντατικολόγος,Διευθυντής,
25067470203,MED-080145,Καρδιολόγος,Διευθυντής,
07017336764,MED-844113,Γαστρεντερολόγος,Ειδικευόμενος,15068957567
26056031201,MED-972539,Καρδιολόγος,Επιμελητής Β΄,
04066241219,MED-394136,Εντατικολόγος,Ειδικευόμενος,16038345197
28106015571,MED-758296,Ωτορινολαρυγγολόγος,Επιμελητής Β΄,03049115587
21056659269,MED-395127,Ενδοκρινολόγος,Επιμελητής Β΄,
16109211017,MED-321424,Ογκολόγος,Ειδικευόμενος,18047974063
12097182585,MED-061539,Νευρολόγος,Ειδικευόμενος,24128760642
21029390527,MED-189574,Χειρουργός,Ειδικευόμενος,08066384048
31036764120,MED-680492,Ενδοκρινολόγος,Επιμελητής Β΄,31018504386
01068388909,MED-663989,Ορθοπεδικός,Ειδικευόμενος,13019511418
31127162692,MED-300526,Γαστρεντερολόγος,Επιμελητής Α΄,
30128750138,MED-372348,Πνευμονολόγος,Ειδικευόμενος,03047764549
10127855123,MED-908346,Καρδιολόγος,Ειδικευόμενος,07039120569
27047450977,MED-530395,Εντατικολόγος,Ειδικευόμενος,19049805360
21107026591,MED-304928,Εντατικολόγος,Επιμελητής Α΄,
17099112296,MED-667529,Ενδοκρινολόγος,Ειδικευόμενος,17116460629
16057668308,MED-348276,Νευρολόγος,Ειδικευόμενος,24127184919
13128886585,MED-536862,Ενδοκρινολόγος,Ειδικευόμενος,29069575442
07096320081,MED-029164,Πνευμονολόγος,Επιμελητής Β΄,24127417202
06106702650,MED-143322,Καρδιολόγος,Επιμελητής Β΄,01099600492
06067101897,MED-469866,Οφθαλμίατρος,Επιμελητής Β΄,27127004840
22029134563,MED-213531,Ογκολόγος,Ειδικευόμενος,18098586120
24127417202,MED-042563,Ογκολόγος,Διευθυντής,
24107206566,MED-985899,Χειρουργός,Επιμελητής Β΄,24097463592
01026474429,MED-601458,Καρδιολόγος,Ειδικευόμενος,13049573563
16058088797,MED-683702,Εντατικολόγος,Επιμελητής Β΄,17098211492
06027984112,MED-169837,Ενδοκρινολόγος,Επιμελητής Α΄,
20117228047,MED-491141,Ογκολόγος,Ειδικευόμενος,18038419704
10066642723,MED-706330,Οφθαλμίατρος,Ειδικευόμενος,04096470957
06088858657,MED-996040,Ογκολόγος,Επιμελητής Β΄,08117716641
11028804475,MED-607590,Ενδοκρινολόγος,Ειδικευόμενος,04097289185
08117716641,MED-767621,Ενδοκρινολόγος,Διευθυντής,
14027204472,MED-985111,Ορθοπεδικός,Επιμελητής Β΄,23038301805
22089289312,MED-663355,Γαστρεντερολόγος,Επιμελητής Α΄,
18048136821,MED-048225,Ορθοπεδικός,Επιμελητής Β΄,20047493220
13049344733,MED-289931,Χειρουργός,Επιμελητής Α΄,
17116460629,MED-633904,Ορθοπεδικός,Επιμελητής Α΄,
15068957567,MED-954801,Ενδοκρινολόγος,Επιμελητής Α΄,
13019511418,MED-694390,Ωτορινολαρυγγολόγος,Επιμελητής Β΄,
30037959532,MED-430692,Χειρουργός,Επιμελητής Α΄,
29018364310,MED-852942,Ογκολόγος,Επιμελητής Β΄,14117875826
13019416697,MED-431722,Ουρολόγος,Διευθυντής,
10088406393,MED-972984,Ουρολόγος,Ειδικευόμενος,04037503050
02036522626,MED-989149,Επειγοντολόγος,Ειδικευόμενος,31077414694
19048935115,MED-657356,Καρδιολόγος,Ειδικευόμενος,28027843113
10098802211,MED-392973,Γυναικολόγος,Επιμελητής Β΄,05056159470
17087168135,MED-690362,Γυναικολόγος,Ειδικευόμενος,23018017465
30066643000,MED-697216,Γυναικολόγος,Επιμελητής Β΄,
22036277849,MED-628664,Ουρολόγος,Ειδικευόμενος,22056024879
21059604573,MED-375360,Γαστρεντερολόγος,Επιμελητής Β΄,20056259580
19088103483,MED-219685,Ουρολόγος,Επιμελητής Β΄,21107026591
16049105631,MED-106348,Πνευμονολόγος,Ειδικευόμενος,06106702650
03116493443,MED-229808,Παιδίατρος,Επιμελητής Α΄,
18077668129,MED-315961,Νευρολόγος,Επιμελητής Β΄,24127417202
04027352612,MED-472264,Ωτορινολαρυγγολόγος,Διευθυντής,
09087465106,MED-118017,Ορθοπεδικός,Ειδικευόμενος,12057155300
22069080015,MED-947557,Ωτορινολαρυγγολόγος,Ειδικευόμενος,01126898842
26109596245,MED-551331,Επειγοντολόγος,Ειδικευόμενος,18117707554
06017832098,MED-146168,Γαστρεντερολόγος,Ειδικευόμενος,01078222862
25099582251,MED-247349,Ενδοκρινολόγος,Ειδικευόμενος,05056159470
18026491407,MED-322828,Νευρολόγος,Ειδικευόμενος,06088858657
25087114134,MED-233467,Νευρολόγος,Ειδικευόμενος,24068366431
02097580827,MED-795104,Χειρουργός,Επιμελητής Β΄,
20027211534,MED-706115,Ενδοκρινολόγος,Ειδικευόμενος,29087896734
20036906148,MED-412290,Επειγοντολόγος,Διευθυντής,
10028991768,MED-483412,Γυναικολόγος,Ειδικευόμενος,31127128715
08097338699,MED-467968,Ορθοπεδικός,Ειδικευόμενος,13049344733
27016538344,MED-951477,Οφθαλμίατρος,Επιμελητής Β΄,01099600492
19038209414,MED-020204,Ωτορινολαρυγγολόγος,Ειδικευόμενος,31056269522
04119372013,MED-834765,Οφθαλμίατρος,Επιμελητής Β΄,17098211492
26027420823,MED-116062,Ωτορινολαρυγγολόγος,Διευθυντής,
19067764454,MED-042083,Ωτορινολαρυγγολόγος,Επιμελητής Α΄,
27038876062,MED-410003,Παιδίατρος,Επιμελητής Β΄,
29069575442,MED-635444,Εντατικολόγος,Επιμελητής Α΄,
12057413455,MED-015721,Γυναικολόγος,Επιμελητής Β΄,07126830003
06129398379,MED-946608,Γαστρεντερολόγος,Επιμελητής Β΄,06067129338
04028115193,MED-358914,Παιδίατρος,Ειδικευόμενος,10097761798
23018735761,MED-813595,Ωτορινολαρυγγολόγος,Ειδικευόμενος,25098689646
05069279544,MED-553708,Γαστρεντερολόγος,Ειδικευόμενος,24127417202
21079047523,MED-479719,Οφθαλμίατρος,Επιμελητής Β΄,04049765143
14036730831,MED-156242,Πνευμονολόγος,Επιμελητής Β΄,
18078628006,MED-019083,Ορθοπεδικός,Ειδικευόμενος,04096470957
01078222862,MED-861432,Εντατικολόγος,Επιμελητής Β΄,04027352612
28027843113,MED-591082,Ορθοπεδικός,Επιμελητής Α΄,
27039198147,MED-537679,Ορθοπεδικός,Επιμελητής Β΄,07077275306
03089789067,MED-010726,Πνευμονολόγος,Ειδικευόμενος,04037503050
04119239492,MED-020527,Ωτορινολαρυγγολόγος,Ειδικευόμενος,06106702650
08038064163,MED-700801,Γυναικολόγος,Επιμελητής Β΄,28027843113
18117707554,MED-244988,Εντατικολόγος,Επιμελητής Β΄,
20056259580,MED-186615,Καρδιολόγος,Διευθυντής,
06066504974,MED-380049,Ογκολόγος,Ειδικευόμενος,21107026591
16027098320,MED-385134,Ενδοκρινολόγος,Ειδικευόμενος,02038186264
14017779931,MED-507589,Πνευμονολόγος,Ειδικευόμενος,01058889994
06086096998,MED-595621,Νευρολόγος,Επιμελητής Β΄,04027352612
02036898951,MED-265204,Γαστρεντερολόγος,Ειδικευόμενος,15087602276
28126455528,MED-121849,Πνευμονολόγος,Διευθυντής,
24107406710,MED-016116,Γαστρεντερολόγος,Επιμελητής Β΄,31018504386
07038155297,MED-366642,Ουρολόγος,Ειδικευόμενος,17059777666
