ΑΜΚΑ_ΙΑΤΡΟΥ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
10086060998,Γαστρεντερολογία
24127184919,Οφθαλμολογία
20027156874,Ουρολογία
08117665345,Χειρουργική
02119001109,Ενδοκρινολογία
04096470957,ΜΕΘ
17019408693,Ουρολογία
13129208275,Ουρολογία
15027849121,Καρδιολογία
08078996446,Επείγοντα
14076889096,ΜΕΘ
07086512984,Χειρουργική
11019339247,Ενδοκρινολογία
17129595144,ΩΡΛ
30068836428,Ορθοπεδική
27116381556,ΜΕΘ
04049877134,Ογκολογία
31018504386,Γαστρεντερολογία
29048747950,Γυναικολογία
03097463750,Οφθαλμολογία
31056269522,Ενδοκρινολογία
07068540070,Νευρολογία
18098586120,Γυναικολογία
11087036989,Παιδιατρική
08046234626,Χειρουργική
13036214191,ΩΡΛ
06127921077,ΜΕΘ
01037803167,Οφθαλμολογία
11029101695,Χειρουργική
14107187228,Νευρολογία
26049275048,ΜΕΘ
07079445783,Χειρουργική
21046521057,Ογκολογία
05056159470,Γυναικολογία
20039428891,Νευρολογία
27058235299,Νευρολογία
09077793434,Επείγοντα
03047764549,Νευρολογία
25086572696,Ουρολογία
25066070679,Παιδιατρική
21116234129,Ενδοκρινολογία
26026494790,Νευρολογία
05059061176,Οφθαλμολογία
20047493220,Ενδοκρινολογία
07119294567,Ουρολογία
06067883458,Χειρουργική
10116142591,Γυναικολογία
07067536585,Ογκολογία
08066384048,ΜΕΘ
07077275306,ΜΕΘ
25067470203,Ενδοκρινολογία
07017336764,ΜΕΘ
26056031201,Γυναικολογία
04066241219,Νευρολογία
28106015571,Νευρολογία
21056659269,Ενδοκρινολογία
16109211017,Επείγοντα
12097182585,Γυναικολογία
21029390527,Γαστρεντερολογία
31036764120,ΜΕΘ
01068388909,Καρδιολογία
31127162692,Καρδιολογία
30128750138,Ογκολογία
10127855123,Οφθαλμολογία
27047450977,Χειρουργική
21107026591,Πνευμονολογία
17099112296,Οφθαλμολογία
16057668308,Νευρολογία
13128886585,Καρδιολογία
07096320081,Ουρολογία
06106702650,Ουρολογία
06067101897,Ουρολογία
22029134563,Νευρολογία
24127417202,Νευρολογία
24107206566,Ουρολογία
01026474429,Γυναικολογία
16058088797,Ορθοπεδική
06027984112,ΜΕΘ
20117228047,Πνευμονολογία
10066642723,Γυναικολογία
06088858657,ΩΡΛ
11028804475,Ενδοκρινολογία
08117716641,Ουρολογία
14027204472,Ογκολογία
22089289312,Επείγοντα
18048136821,Ορθοπεδική
13049344733,ΩΡΛ
17116460629,Γυναικολογία
15068957567,Καρδιολογία
13019511418,Νευρολογία
30037959532,Οφθαλμολογία
29018364310,Ενδοκρινολογία
13019416697,Ορθοπεδική
10088406393,ΩΡΛ
02036522626,Χειρουργική
19048935115,Καρδιολογία
10098802211,ΩΡΛ
17087168135,Επείγοντα
30066643000,Καρδιολογία
22036277849,Ορθοπεδική
21059604573,Γυναικολογία
19088103483,Γαστρεντερολογία
16049105631,Νευρολογία
03116493443,Ουρολογία
18077668129,Χειρουργική
04027352612,Οφθαλμολογία
09087465106,Καρδιολογία
22069080015,Καρδιολογία
26109596245,Ενδοκρινολογία
06017832098,Νευρολογία
25099582251,Ουρολογία
18026491407,Ενδοκρινολογία
25087114134,Χειρουργική
02097580827,Ορθοπεδική
20027211534,Επείγοντα
20036906148,Ογκολογία
