ΑΡΙΘΜΟΣ_ΣΥΜΒΟΛΑΙΟΥ,ΟΝΟΜΑ_ΦΟΡΕΑ,ΑΜΚΑ_ΑΣΘΕΝΗ
INS-947197101,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13102117063
INS-655712778,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,08093753810
INS-805016703,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,24017338861
INS-111037710,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,04109264197
INS-063412091,NN HELLAS,09013516443
INS-592825570,GENERALI,12086216912
INS-783592988,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,22020248631
INS-567856528,EUROLIFE FFH,18085856441
INS-374912277,EUROLIFE FFH,18077100903
INS-424921033,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,14094726978
INS-683942478,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,20128544273
INS-862104344,GENERALI,21129731416
INS-674914980,NN HELLAS,21035161198
INS-160024952,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,21057697037
INS-228797069,EUROLIFE FFH,04030957761
INS-121444706,INTERAMERICAN,10037365113
INS-502831629,NN HELLAS,20102079787
INS-398474785,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,29089762088
INS-599194923,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,26119959513
INS-898354949,EUROLIFE FFH,15109647602
INS-461916641,EUROLIFE FFH,23057639999
INS-830775851,GENERALI,02029458474
INS-891200295,NN HELLAS,05043411746
INS-491845294,NN HELLAS,09031281255
INS-905211439,EUROLIFE FFH,05061005884
INS-726988277,INTERAMERICAN,30016754852
INS-753825409,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,20011270665
INS-639965870,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,07013366308
INS-960864247,EUROLIFE FFH,20049191177
INS-312786455,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,31013414431
INS-712571387,GENERALI,02054846840
INS-743788728,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,27037831603
INS-380257336,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,05033229144
INS-865984607,ΕΟΠΥΥ,30040535722
INS-257984580,EUROLIFE FFH,09075935751
INS-542739964,GENERALI,02094582817
INS-556954108,GENERALI,30030355690
INS-567414903,INTERAMERICAN,22054760924
INS-454850419,INTERAMERICAN,14034333046
INS-086588178,ΕΟΠΥΥ,30117970736
INS-688803000,ΕΟΠΥΥ,06022297963
INS-216509470,EUROLIFE FFH,17113490589
INS-337145702,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,28085409185
INS-773457555,NN HELLAS,28016911391
INS-578659600,GENERALI,16022232139
INS-732554434,ΕΟΠΥΥ,29089974247
INS-136042008,GENERALI,24128038851
INS-411050419,NN HELLAS,18025748771
INS-367638697,INTERAMERICAN,15086812967
INS-665625828,ΕΟΠΥΥ,14100276575
INS-206646349,EUROLIFE FFH,25039335722
INS-078039084,NN HELLAS,09035474355
INS-706930184,EUROLIFE FFH,21014214882
INS-626851941,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,01094138749
INS-207434724,NN HELLAS,22124290376
INS-878344117,EUROLIFE FFH,06104885538
INS-330947724,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,29127054977
INS-712593313,EUROLIFE FFH,17045286016
INS-542414437,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,16109658536
INS-290814301,ΕΟΠΥΥ,06013121168
INS-564965694,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,16014414473
INS-991733979,ΕΟΠΥΥ,26027622858
INS-410948445,NN HELLAS,26066066745
INS-258245728,ΕΟΠΥΥ,23084904177
INS-044420304,EUROLIFE FFH,05097701544
INS-926192739,ΕΟΠΥΥ,24031811076
INS-972928826,ΕΟΠΥΥ,15039120847
INS-681403090,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,29124623847
INS-050131449,GENERALI,22119760181
INS-739381084,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,21027860167
INS-172839013,ΕΟΠΥΥ,14028927387
INS-793609119,ΕΟΠΥΥ,30060618540
INS-528699986,EUROLIFE FFH,23092193431
INS-048630900,NN HELLAS,04053761735
INS-363637729,INTERAMERICAN,26052109103
INS-158118249,ΕΟΠΥΥ,12033485947
INS-798557225,GENERALI,05035038168
INS-920554101,ΕΟΠΥΥ,27080244364
INS-931087012,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14084911653
INS-117240812,NN HELLAS,17121932584
INS-186052611,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,05095600700
INS-549816855,INTERAMERICAN,30054419117
INS-101637797,GENERALI,14088767601
INS-862752786,ΕΟΠΥΥ,23040941698
INS-302380488,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,12065536836
INS-372529093,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14059789633
INS-325058505,GENERALI,16053490058
INS-302359617,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,24038831107
INS-958899592,ΕΟΠΥΥ,28014559414
INS-949042747,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,27034768539
INS-769608132,GENERALI,02057448315
INS-453782951,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14074851518
INS-220833743,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,12063020578
INS-716358848,GENERALI,12070149085
INS-753206780,EUROLIFE FFH,18082375574
INS-334614619,NN HELLAS,17062483938
INS-653081244,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,08014390037
INS-458087525,NN HELLAS,05013746304
INS-370665338,ΕΟΠΥΥ,08029158344
INS-333573286,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,16080159744
INS-514123139,NN HELLAS,15046310029
INS-422871634,GENERALI,09048948317
INS-796813892,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,02045074442
INS-862102593,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,01032250472
INS-354754961,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,09016187657
INS-666286701,ΕΟΠΥΥ,12070894024
INS-893067275,ΕΟΠΥΥ,26103795131
INS-974784219,INTERAMERICAN,07046156736
INS-673902559,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,04010715845
INS-676878799,INTERAMERICAN,29052351596
INS-364381105,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,21065440042
INS-238132553,NN HELLAS,06121677457
INS-915348050,GENERALI,11083195810
INS-195043437,ΕΟΠΥΥ,13110217279
INS-769286757,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,14097777430
INS-191877113,NN HELLAS,25129600754
INS-956199106,ΕΟΠΥΥ,07024082068
INS-581038311,ΕΟΠΥΥ,25100618209
INS-296621738,INTERAMERICAN,21070724687
INS-209275741,NN HELLAS,28066373927
INS-258781199,ΕΟΠΥΥ,26062004221
INS-681963283,ΕΟΠΥΥ,18049979138
INS-110504340,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14088475989
INS-183642910,INTERAMERICAN,30044605777
INS-688630325,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,30012344134
INS-204263819,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,11109285511
INS-194852257,GENERALI,24057191557
INS-727069433,INTERAMERICAN,23106607173
INS-800953705,EUROLIFE FFH,27036717256
INS-058750904,NN HELLAS,21099635187
INS-692723446,EUROLIFE FFH,11128938704
INS-734550229,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,19091649820
INS-740236231,NN HELLAS,05049276587
INS-661586974,INTERAMERICAN,30100690757
INS-782743261,ΕΟΠΥΥ,18080199285
INS-748969879,ΕΟΠΥΥ,10056944049
INS-551124859,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,11074332056
INS-981598501,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,13128159798
INS-205389627,ΕΟΠΥΥ,01075662062
INS-985658374,EUROLIFE FFH,20076928187
INS-528105785,INTERAMERICAN,16015765443
INS-080566844,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,24077346165
INS-558769582,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,05118797992
INS-665144232,EUROLIFE FFH,08094034011
INS-138329316,INTERAMERICAN,25083159591
INS-519395170,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,18070421291
INS-855123953,EUROLIFE FFH,20029803026
INS-963254518,EUROLIFE FFH,21104716265
INS-020009489,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,18041465931
INS-736443075,ΕΟΠΥΥ,08067243556
INS-763846542,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,02019348929
INS-004516123,INTERAMERICAN,13046581206
INS-141262581,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,03011519981
INS-353710716,INTERAMERICAN,27080752224
INS-040702599,NN HELLAS,14057322062
INS-508339060,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,21077811918
INS-199175135,INTERAMERICAN,11128851375
INS-276189387,EUROLIFE FFH,26058889631
INS-786104998,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,09114655562
INS-301722722,INTERAMERICAN,06091514705
INS-542056059,ΕΟΠΥΥ,16102312996
INS-649167097,GENERALI,17085269429
INS-179641671,NN HELLAS,21094198252
INS-098099245,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14087749325
INS-557655980,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,19097579555
INS-518236229,INTERAMERICAN,24072031291
INS-210633977,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13106568737
INS-125577345,GENERALI,12035545444
INS-328403990,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,10055859674
INS-137811533,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,28109754021
INS-988934825,EUROLIFE FFH,08079660598
INS-506189218,NN HELLAS,24101545309
INS-629796888,NN HELLAS,23011041645
INS-816305295,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,10081433349
INS-144077551,GENERALI,07121047678
INS-720835094,ΕΟΠΥΥ,22116226041
INS-652575120,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,29044155489
INS-909296772,EUROLIFE FFH,10067923687
INS-408481571,EUROLIFE FFH,20049175161
INS-862658991,INTERAMERICAN,16113546701
INS-764185089,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,15081228484
INS-028170057,INTERAMERICAN,20084901260
INS-018713214,ΕΟΠΥΥ,09051394631
INS-914288875,EUROLIFE FFH,27091112121
INS-461449432,EUROLIFE FFH,12020573810
INS-200345573,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,02068127263
INS-962742895,NN HELLAS,15091099694
INS-986197861,ΕΟΠΥΥ,24127487528
INS-482417218,INTERAMERICAN,25019559038
INS-144099688,GENERALI,24109264386
INS-476452497,GENERALI,28093779532
INS-316386530,EUROLIFE FFH,16120302752
INS-298080746,ΕΟΠΥΥ,11095222976
INS-252094707,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,29104409385
INS-792576432,INTERAMERICAN,30051659584
INS-978961484,ΕΟΠΥΥ,17045929103
INS-809928229,NN HELLAS,24099030563
INS-485822368,GENERALI,29111265947
INS-464080388,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,05080843447
INS-319884762,EUROLIFE FFH,20081360225
INS-210682269,GENERALI,28085828654
INS-434074980,ΕΟΠΥΥ,15047777083
INS-459987315,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,29080430759
INS-676387737,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,16044711954
INS-605439230,GENERALI,02097445006
INS-192376075,ΕΟΠΥΥ,01090967171
INS-909067244,NN HELLAS,01118338447
INS-209935288,ΕΟΠΥΥ,24015078092
INS-314747060,EUROLIFE FFH,16127971613
INS-507947634,ΕΟΠΥΥ,02126367990
INS-038139046,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,28060965581
INS-497869448,ΕΟΠΥΥ,10114691239
INS-256464932,NN HELLAS,01079025984
INS-323845479,GENERALI,07088154835
INS-124104621,INTERAMERICAN,23120640348
INS-481544564,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,09039397490
INS-943032326,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,11114277281
INS-199183827,ΕΟΠΥΥ,07050929544
INS-243113349,INTERAMERICAN,09111144008
INS-137797743,NN HELLAS,30037963679
INS-827899304,ΕΟΠΥΥ,06117044623
INS-898382688,INTERAMERICAN,23067252775
INS-046222556,ΕΟΠΥΥ,02105019834
INS-352724183,INTERAMERICAN,19125164653
INS-189326228,GENERALI,27127438697
INS-920612419,EUROLIFE FFH,12074284373
INS-919556179,EUROLIFE FFH,18040422957
INS-499951455,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,17094457183
INS-892335250,NN HELLAS,08023167331
INS-644737119,GENERALI,08117581586
INS-185011359,ΕΟΠΥΥ,03078633575
INS-214264196,INTERAMERICAN,11128355277
INS-428755315,NN HELLAS,10111611901
INS-260888626,NN HELLAS,01031923789
INS-250081299,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,23038335704
INS-843276788,INTERAMERICAN,21115654887
INS-251208467,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,18068574255
INS-320564664,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,29067560865
INS-832289319,NN HELLAS,24038570305
INS-060389202,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,24095661829
INS-811004571,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14071802502
INS-661734032,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,17031082099
INS-719308214,NN HELLAS,16075588851
INS-872043517,GENERALI,01114471804
INS-054254442,ΕΟΠΥΥ,10053656637
INS-668743661,ΕΟΠΥΥ,19098831077
INS-602786240,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,04059086163
INS-817257459,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,24090057808
INS-254541143,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,09129091313
INS-626514099,EUROLIFE FFH,13038339146
INS-826318781,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,02083369705
INS-620456068,EUROLIFE FFH,31013678523
