ΑΜΚΑ_ΝΟΣΗΛΕΥΤΗ,ΒΑΘΜΙΔΑ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
31076118476,Βοηθός Νοσηλευτή,Νευρολογία
15066496881,Βοηθός Νοσηλευτή,Γαστρεντερολογία
19109043504,Νοσηλευτής,Παιδιατρική
18039105982,Νοσηλευτής,Οφθαλμολογία
13059468434,Προϊστάμενος,ΜΕΘ
26039581346,Βοηθός Νοσηλευτή,Ουρολογία
05119034270,Προϊστάμενος,Επείγοντα
11086204373,Νοσηλευτής,ΜΕΘ
30117815887,Νοσηλευτής,Χειρουργική
18128340575,Νοσηλευτής,Καρδιολογία
02048031608,Νοσηλευτής,Καρδιολογία
17019076124,Βοηθός Νοσηλευτή,Πνευμονολογία
08107361931,Νοσηλευτής,Ενδοκρινολογία
15088506830,Νοσηλευτής,Νευρολογία
27078632318,Νοσηλευτής,Πνευμονολογία
21048057415,Νοσηλευτής,Γυναικολογία
27057193151,Βοηθός Νοσηλευτή,Γαστρεντερολογία
30058019899,Νοσηλευτής,Χειρουργική
13077083422,Νοσηλευτής,Χειρουργική
20126534261,Νοσηλευτής,Παιδιατρική
26109984655,Νοσηλευτής,Ουρολογία
11076194246,Νοσηλευτής,Χειρουργική
21019870610,Βοηθός Νοσηλευτή,Ογκολογία
23098922056,Νοσηλευτής,Ουρολογία
05118761571,Βοηθός Νοσηλευτή,Επείγοντα
14078113908,Προϊστάμενος,Παιδιατρική
30059828244,Νοσηλευτής,Γυναικολογία
09078487422,Νοσηλευτής,ΩΡΛ
15119510000,Νοσηλευτής,Νευρολογία
23127914019,Νοσηλευτής,Ουρολογία
16079061012,Βοηθός Νοσηλευτή,Χειρουργική
13100035673,Νοσηλευτής,Γαστρεντερολογία
31038701390,Νοσηλευτής,ΩΡΛ
11066436710,Νοσηλευτής,Καρδιολογία
30128559854,Βοηθός Νοσηλευτή,Χειρουργική
31039466896,Βοηθός Νοσηλευτή,Πνευμονολογία
01046741139,Βοηθός Νοσηλευτή,Πνευμονολογία
16067883964,Βοηθός Νοσηλευτή,Γαστρεντερολογία
16049716177,Προϊστάμενος,Ουρολογία
21059171364,Βοηθός Νοσηλευτή,Γαστρεντερολογία
21059745722,Νοσηλευτής,Παιδιατρική
08117067751,Νοσηλευτής,Οφθαλμολογία
06068844833,Νοσηλευτής,ΩΡΛ
13129274742,Νοσηλευτής,ΜΕΘ
14099220532,Βοηθός Νοσηλευτή,Ορθοπεδική
26089867334,Βοηθός Νοσηλευτή,Επείγοντα
13077073021,Νοσηλευτής,Γυναικολογία
30039993909,Νοσηλευτής,ΩΡΛ
10018532996,Νοσηλευτής,Ουρολογία
03128845112,Βοηθός Νοσηλευτή,Ουρολογία
10066054452,Νοσηλευτής,Παιδιατρική
30097527993,Νοσηλευτής,Γυναικολογία
20127739286,Νοσηλευτής,ΩΡΛ
24109192383,Βοηθός Νοσηλευτή,Ενδοκρινολογία
17037970004,Βοηθός Νοσηλευτή,ΩΡΛ
29068724550,Βοηθός Νοσηλευτή,ΩΡΛ
22119480687,Νοσηλευτής,Ογκολογία
12069231084,Βοηθός Νοσηλευτή,Ορθοπεδική
04038417249,Προϊστάμενος,Οφθαλμολογία
16016380461,Νοσηλευτής,Οφθαλμολογία
01016353360,Νοσηλευτής,Ορθοπεδική
15107495752,Βοηθός Νοσηλευτή,Ουρολογία
04108491204,Προϊστάμενος,Ορθοπεδική
15117326267,Νοσηλευτής,Πνευμονολογία
11107461794,Νοσηλευτής,Οφθαλμολογία
20087701735,Βοηθός Νοσηλευτή,Επείγοντα
07116279027,Νοσηλευτής,Παιδιατρική
14048580529,Βοηθός Νοσηλευτή,Χειρουργική
09046699344,Βοηθός Νοσηλευτή,Ογκολογία
15086072947,Νοσηλευτής,Πνευμονολογία
25129020960,Νοσηλευτής,Επείγοντα
16019343953,Νοσηλευτής,Ενδοκρινολογία
24067746429,Νοσηλευτής,ΩΡΛ
29047849914,Νοσηλευτής,Παιδιατρική
18090094593,Βοηθός Νοσηλευτή,ΩΡΛ
09019562411,Βοηθός Νοσηλευτή,Παιδιατρική
10078602364,Νοσηλευτής,ΜΕΘ
12029214112,Βοηθός Νοσηλευτή,Ογκολογία
24108863678,Βοηθός Νοσηλευτή,Γαστρεντερολογία
11110090113,Βοηθός Νοσηλευτή,Γυναικολογία
28048293049,Νοσηλευτής,ΩΡΛ
24056638400,Νοσηλευτής,ΩΡΛ
30118698533,Βοηθός Νοσηλευτή,Παιδιατρική
18086649381,Βοηθός Νοσηλευτή,Παιδιατρική
19109686969,Νοσηλευτής,Ουρολογία
12017727071,Βοηθός Νοσηλευτή,ΜΕΘ
10040145160,Νοσηλευτής,Ορθοπεδική
06099678104,Βοηθός Νοσηλευτή,Ορθοπεδική
19089318457,Νοσηλευτής,Νευρολογία
16066288202,Βοηθός Νοσηλευτή,Ογκολογία
23066663412,Νοσηλευτής,Γυναικολογία
19106310004,Προϊστάμενος,Ογκολογία
25116313213,Βοηθός Νοσηλευτή,Ορθοπεδική
04098950065,Βοηθός Νοσηλευτή,ΜΕΘ
24088935039,Βοηθός Νοσηλευτή,Παιδιατρική
30107682035,Βοηθός Νοσηλευτή,Ενδοκρινολογία
22128600161,Βοηθός Νοσηλευτή,Παιδιατρική
24089701863,Βοηθός Νοσηλευτή,Ενδοκρινολογία
23116204779,Νοσηλευτής,ΩΡΛ
28109010519,Νοσηλευτής,Γυναικολογία
03086348216,Βοηθός Νοσηλευτή,Καρδιολογία
