ΑΜΚΑ_ΑΣΘΕΝΗ,ΚΩΔΙΚΟΣ_ΠΡΑΞΗΣ,ΗΜΕΡΟΜΗΝΙΑ_ΩΡΑ,ΑΙΘΟΥΣΑ,ΑΜΚΑ_ΙΑΤΡΟΥ,ΚΩΔΙΚΟΣ_ΝΟΣΗΛΕΙΑΣ
17064307808,X669917,2026-06-21 07:29:13,Αίθουσα Επέμβασης 2,16129514595,2940
12125586892,B310967,2025-12-06 22:51:59,Αίθουσα Επέμβασης 5,18038419704,25502
06042233284,A400441,2026-02-16 00:26:46,Χειρουργείο 3,02038186264,22569
20019074429,X643245,2025-08-26 14:20:24,Αίθουσα Επέμβασης 3,17049454625,12813
13052252285,B316603,2024-03-07 17:58:07,Χειρουργείο 4,20047493220,22905
19041594595,B308119,2024-12-17 17:27:10,Χειρουργείο 5,31018504386,24755
26012480365,X604063,2025-11-05 00:18:14,Αίθουσα Επέμβασης 3,03077355047,22546
18113981900,X655529,2026-09-03 16:23:59,Χειρουργείο 3,31056169071,29035
25038315978,X714627,2025-01-26 13:16:57,Χειρουργείο 5,06028417733,468
06067957709,X635621,2024-01-04 06:48:12,Χειρουργείο 1,30076480256,17512
21077442118,X648761,2026-02-17 04:34:08,Χειρουργείο 1,31018504386,9887
06041510143,B316123,2025-08-20 16:55:58,Χειρουργείο 1,04056123282,20638
07120703275,X688285,2026-06-24 20:52:34,Αίθουσα Επέμβασης 4,25098689646,18086
12034298650,X678039,2024-10-07 12:56:52,Αίθουσα Επέμβασης 1,21107026591,15097
06027588959,X633937.73,2026-01-09 19:22:17,Χειρουργείο 1,04056123282,3251
31101025164,X650991,2024-11-23 02:54:53,Αίθουσα Επέμβασης 3,25108939007,543
23069817536,X608559,2025-02-21 12:45:13,Χειρουργείο 1,15087602276,20557
04031770212,X645061,2026-06-15 20:59:00,Αίθουσα Επέμβασης 1,23018017465,13939
02067741392,X709549,2025-07-18 14:14:40,Χειρουργείο 4,19027744421,16941
07026513142,A403651,2024-09-30 04:38:24,Χειρουργείο 4,29069575442,567
29050921162,X636583,2024-04-08 21:52:35,Χειρουργείο 2,31036764120,24695
25017266961,B315947,2025-02-02 17:16:12,Χειρουργείο 1,02038186264,2478
21066599429,X623459,2026-04-08 22:23:29,Αίθουσα Επέμβασης 5,19119585662,10596
23031223513,B315981,2025-05-05 12:40:01,Αίθουσα Επέμβασης 5,16109211017,15563
16053122860,K517153,2026-04-14 17:23:02,Χειρουργείο 1,17059777666,25064
06126519291,A400225,2026-06-25 03:34:25,Αίθουσα Επέμβασης 3,26027420823,17750
30113110007,X654239,2024-07-04 08:59:42,Χειρουργείο 5,21036855841,767
30033478998,X627289,2026-09-21 09:04:53,Αίθουσα Επέμβασης 1,16129514595,21545
21077442118,B316535,2024-01-07 13:31:55,Αίθουσα Επέμβασης 2,04027352612,8067
19096724150,B307651,2024-10-29 14:43:36,Χειρουργείο 4,13106968050,25824
25129121136,X642963,2025-10-09 22:13:00,Χειρουργείο 4,06067101897,6694
02024472286,X683959,2026-03-11 15:37:08,Χειρουργείο 3,19109063851,2976
25083159591,B313905.5,2024-04-25 23:02:26,Αίθουσα Επέμβασης 4,26086295833,25902
02101590063,X634929,2024-03-27 06:55:33,Χειρουργείο 3,15087602276,9610
27059353247,B313605.26,2024-06-11 06:03:10,Αίθουσα Επέμβασης 1,26086400932,19481
05015061059,X684667,2026-10-23 02:17:06,Αίθουσα Επέμβασης 5,22036277849,8045
29129239384,X666489,2025-11-20 05:36:59,Αίθουσα Επέμβασης 2,10049377861,25551
11016551784,X633413,2024-01-12 01:44:13,Χειρουργείο 4,01129618953,12757
25116784743,X647915,2026-09-02 02:47:45,Αίθουσα Επέμβασης 3,03049115587,11444
05044849028,B313087,2025-09-08 18:30:53,Χειρουργείο 1,28106015571,27925
20122285327,B307093,2025-08-31 14:58:19,Χειρουργείο 3,20018969312,1911
03016348314,Β315905.53,2025-11-18 16:53:13,Χειρουργείο 1,18117707554,27931
02115425639,X683149,2026-05-01 03:55:06,Χειρουργείο 3,24059714537,10278
26015908432,X666469,2026-11-25 04:22:23,Αίθουσα Επέμβασης 2,21059604573,21103
15123295035,X666193,2025-11-29 07:07:46,Χειρουργείο 5,09058303960,7422
23084544014,B316705.95,2024-12-08 18:32:18,Αίθουσα Επέμβασης 4,18117707554,15084
04116514493,X709563,2026-01-16 00:02:03,Αίθουσα Επέμβασης 2,25067343186,4082
22026811142,K509531,2024-06-24 04:13:26,Χειρουργείο 1,14117875826,17874
27126968810,X623223,2026-07-20 02:11:23,Αίθουσα Επέμβασης 3,08038064163,15910
04101447500,X628559,2025-03-02 14:40:28,Χειρουργείο 1,22046863505,23472
21119841138,X634359,2024-11-02 23:40:05,Αίθουσα Επέμβασης 4,20078593378,19181
28016405364,X603969,2026-07-07 21:31:40,Χειρουργείο 2,13106968050,6637
20021115738,X681899,2024-05-08 05:33:33,Χειρουργείο 5,12057155300,26675
04035697873,X699671,2026-11-21 03:00:15,Χειρουργείο 5,28068899789,9658
04087828544,X658399,2025-05-06 04:05:27,Χειρουργείο 3,30068836428,20986
21064539164,X709451,2026-06-07 12:45:10,Χειρουργείο 5,22069080015,11535
16086537069,K507417,2024-09-16 16:08:35,Χειρουργείο 3,29018364310,3166
23012461353,X666433,2024-12-06 07:46:34,Χειρουργείο 3,21059604573,15914
14035154772,X633937.219,2026-05-22 03:42:04,Αίθουσα Επέμβασης 2,25087114134,8855
04036467722,X631957.16,2024-09-15 07:54:25,Χειρουργείο 5,27127004840,15411
20040705185,X614485,2024-06-25 15:24:15,Χειρουργείο 3,26119233090,1910
23019283151,X718249,2024-08-03 07:53:12,Αίθουσα Επέμβασης 1,17086545716,288
07117191362,B313425,2025-11-10 11:57:01,Χειρουργείο 4,29018364310,21282
03039667091,X694581,2026-05-26 19:20:07,Αίθουσα Επέμβασης 3,03117001638,16746
02066834315,X681459,2026-12-06 22:41:58,Χειρουργείο 5,01058889994,18214
06010753017,X673981,2025-04-24 01:37:12,Αίθουσα Επέμβασης 1,15087602276,17503
20108108878,X718801,2025-10-25 16:10:43,Χειρουργείο 2,11019339247,19893
10123473069,K517383,2025-04-18 16:13:59,Χειρουργείο 5,04119372013,26653
18027757880,X635651,2026-02-18 20:35:05,Χειρουργείο 1,21079047523,28970
06081875663,X646431,2024-12-20 17:29:10,Χειρουργείο 4,27128879809,3124
29070293217,X650567,2026-09-17 20:45:07,Αίθουσα Επέμβασης 1,27058235299,4478
14110907073,X709119,2025-11-02 15:34:03,Αίθουσα Επέμβασης 2,06017832098,24335
06102355649,X631957.205,2026-08-07 15:18:53,Χειρουργείο 4,16037267290,29853
12083616382,X697279,2024-04-14 07:07:42,Χειρουργείο 2,24059714537,7002
11029389275,B316449,2024-06-02 10:05:02,Χειρουργείο 1,06129006779,6829
30116708519,X685161,2025-07-22 01:14:20,Αίθουσα Επέμβασης 4,14026323754,28500
21073922728,X648361,2025-02-14 22:56:39,Χειρουργείο 4,06027984112,15808
12103851461,X667669,2025-02-24 10:49:55,Χειρουργείο 4,06056298788,28775
22024865046,X621183,2025-08-12 21:15:41,Χειρουργείο 5,25086572696,23436
14075737846,X631957.168,2024-07-15 18:02:37,Αίθουσα Επέμβασης 5,20078593378,18888
28064016661,X622509,2024-11-05 14:04:12,Αίθουσα Επέμβασης 5,12097182585,1448
28125598885,X634867,2024-06-30 11:49:30,Αίθουσα Επέμβασης 3,12087368022,13922
07028852529,X604049,2024-02-06 06:17:30,Αίθουσα Επέμβασης 4,20039428891,17744
25031295525,X634839,2024-03-02 08:03:21,Χειρουργείο 4,24127417202,9484
24128387851,X709503,2026-09-19 15:46:51,Χειρουργείο 1,25059138149,4946
01023902070,X633937.194,2026-03-17 19:17:23,Αίθουσα Επέμβασης 2,10066642723,8796
03124996915,X600319,2026-02-05 07:45:17,Αίθουσα Επέμβασης 4,01068388909,14945
11089162589,X628209,2025-03-01 21:45:31,Χειρουργείο 2,03126963930,13221
29016418415,X709675,2024-08-15 14:26:08,Χειρουργείο 3,15017994679,4440
15054563003,X633937.148,2025-12-11 11:15:58,Χειρουργείο 5,07086512984,4290
09103419413,X659049,2024-09-11 16:55:06,Χειρουργείο 5,22089289312,6798
14042503265,X674879,2024-06-10 23:31:36,Αίθουσα Επέμβασης 2,18046450046,1306
01059167987,X706329,2024-04-20 05:17:26,Αίθουσα Επέμβασης 1,27127004840,7048
11095396272,K512975.15,2025-04-18 07:08:21,Αίθουσα Επέμβασης 4,06129398379,23567
18032441124,X663757.39,2026-05-19 20:36:48,Χειρουργείο 4,01099600492,4852
04114641688,X633937.7,2026-04-17 00:51:33,Χειρουργείο 4,10086060998,23523
26016322726,K508921,2025-05-13 14:10:08,Αίθουσα Επέμβασης 4,31128168449,4182
29062482203,K508781,2026-06-06 18:43:15,Χειρουργείο 3,11087036989,6423
22018294259,X602359,2024-01-28 04:22:11,Χειρουργείο 3,11087036989,6286
14108845357,B315067,2025-11-12 01:49:59,Αίθουσα Επέμβασης 2,25086572696,18319
17107959056,B316629,2025-10-03 19:07:58,Χειρουργείο 4,01028453566,9809
14051351063,B316705.107,2026-02-26 05:18:27,Αίθουσα Επέμβασης 4,10049377861,29892
07040290771,B316705.122,2025-11-14 01:51:04,Χειρουργείο 3,25086572696,9305
05099559264,X650911,2024-11-26 00:53:39,Χειρουργείο 3,02077108433,12945
16037872624,X703045,2026-06-26 17:36:38,Χειρουργείο 1,21059604573,19023
30094590332,X703343,2026-09-29 15:51:57,Αίθουσα Επέμβασης 1,04077053309,16115
26110419291,X633937.207,2026-11-02 00:32:47,Χειρουργείο 3,18098586120,14534
30116708519,B314965,2024-06-21 12:37:45,Αίθουσα Επέμβασης 3,15027849121,25724
09043693867,K508441,2025-02-10 13:23:33,Χειρουργείο 4,15039665806,17900
21127205101,X703085,2024-03-06 21:45:36,Χειρουργείο 5,27038876062,20132
12021118955,X635211,2024-10-14 16:37:12,Χειρουργείο 3,26027420823,15568
20076803695,X698019,2026-08-16 04:57:23,Αίθουσα Επέμβασης 4,05056159470,18303
04093205235,X702987,2024-08-15 00:05:08,Χειρουργείο 2,14017779931,24770
07117702526,B316705.56,2026-09-10 21:39:55,Αίθουσα Επέμβασης 5,04107581800,5104
19026303320,X718199,2026-10-26 11:08:06,Χειρουργείο 2,06056298788,6283
16099607303,B316531,2026-07-31 12:58:01,Αίθουσα Επέμβασης 4,23059304171,7163
27036187961,X672379,2026-12-16 19:57:16,Χειρουργείο 2,23077968309,7001
14116648659,X626349,2024-08-13 10:59:54,Χειρουργείο 3,28106015571,904
18037683332,B313605.371,2025-05-31 22:57:08,Αίθουσα Επέμβασης 4,01078222862,14347
