ΑΜΚΑ_ΠΡΟΣΩΠΙΚΟΥ,ΟΝΟΜΑ,ΕΠΩΝΥΜΟ,ΗΛΙΚΙΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΗΜΕΡΟΜΗΝΙΑ_ΠΡΟΣΛΗΨΗΣ,ΤΥΠΟΣ_ΠΡΟΣΩΠΙΚΟΥ
10086060998,Σπυρίδων,Φρογάκης,65,spyridon_frogakis@hospital.gr,6915314454,2025-04-20,Ιατρός
24127184919,Πελαγία,Συνοδινού,54,pelagia_synodinoy@hospital.gr,2108938232,2025-08-15,Ιατρός
20027156874,Τρύφων,Πικρός,55,tpikros@hospital.gr,2620080907,2025-11-08,Ιατρός
08117665345,Κυπαρισσία,Φλασκή,49,kyparissia_flaski@hospital.gr,6912 166856,2026-07-01,Ιατρός
02119001109,Κυριάκος,Βασιλογιάννης,35,kyriakos_vasilogiannis@hospital.gr,2800 481837,2024-11-05,Ιατρός
04096470957,Γρηγόριος,Κριτσέλης,61,gkritselis@hospital.gr,2640 767887,2024-08-29,Ιατρός
17019408693,Ιουλία,Μωυσίδου,32,ioylia_moysidoy@hospital.gr,210 671 4989,2024-06-20,Ιατρός
13129208275,Κωστούλα,Βουτσινά,33,kvoytsina@hospital.gr,+30 2145 141431,2025-07-01,Ιατρός
15027849121,Παντούλα,Φειζατίδου,48,pfeizatidoy@hospital.gr,(+30) 2268 666321,2026-06-03,Ιατρός
08078996446,Αποστολία,Τσούρα,36,apostolia_tsoyra@hospital.gr,2809017144,2026-03-02,Ιατρός
14076889096,Νταίζη,Αγγελουσοπούλου,57,ntaizi.aggeloysopoyloy@hospital.gr,22830 47 934,2026-08-13,Ιατρός
07086512984,Ασκληπιός,Ανδρουλάκης,60,asklipios_androylakis@hospital.gr,+306988509392,2024-08-16,Ιατρός
11019339247,Άριστος,Γιαννακέας,33,agiannakeas@hospital.gr,+302895089688,2024-09-30,Ιατρός
17129595144,Αργυρώ,Κατσιμάλη,30,argyro_katsimali@hospital.gr,+30 6928 240646,2024-01-27,Ιατρός
30068836428,Αρέθα,Βαρελίδου,37,aretha.varelidoy@hospital.gr,+30 2740 019012,2026-02-08,Ιατρός
27116381556,Ρούσα,Ξηροδήμα,62,roysa_xirodima@hospital.gr,210 8324884,2024-05-14,Ιατρός
04049877134,Βλασία,Ξενίδη,28,vlasia_xenidi@hospital.gr,6952 932466,2026-08-17,Ιατρός
31018504386,Ιωάννα,Φιλιάγκου,41,ioanna_filiagkoy@hospital.gr,2102789313,2024-08-17,Ιατρός
29048747950,Πλάτων,Γερόπουλος,39,pgeropoylos@hospital.gr,6908 045629,2025-10-17,Ιατρός
03097463750,Ζηνοβία,Καρολίδου,51,zinovia.karolidoy@hospital.gr,28040 23 520,2026-11-25,Ιατρός
31056269522,Σεραφείμ,Ρουσιανός,63,serafeim.roysianos@hospital.gr,2103785041,2024-01-02,Ιατρός
07068540070,Λάσκαρης,Σμυρνιώτης,40,laskaris.smyrniotis@hospital.gr,6918482102,2026-04-07,Ιατρός
18098586120,Πλάτων,Τσούμος,40,platon_tsoymos@hospital.gr,2200511632,2025-09-30,Ιατρός
11087036989,Διογένης,Ξηρός,55,diogenis.xiros@hospital.gr,(+30) 2225 026831,2026-08-27,Ιατρός
08046234626,Σπήλιος,Κελαϊδώνης,64,skelaidonis@hospital.gr,6992 735944,2026-11-26,Ιατρός
13036214191,Διογένης,Πολυχρονίδης,64,diogenis.polychronidis@hospital.gr,20760 98 914,2025-06-24,Ιατρός
06127921077,Βαλεντίνος,Γεωργούδης,46,vgeorgoydis@hospital.gr,2480118002,2026-03-01,Ιατρός
01037803167,Βαρθολομαίος,Σπάλας,48,vspalas@hospital.gr,6939 724 411,2026-06-15,Ιατρός
11029101695,Παντελής,Βουτσελας,35,pantelis_voytselas@hospital.gr,6989158557,2026-04-23,Ιατρός
14107187228,Κλυταιμνήστρα,Παλιούρα,54,klytaimnistra.palioyra@hospital.gr,2090912301,2024-07-06,Ιατρός
26049275048,Καλυψώ,Κατσαφάδου,34,kkatsafadoy@hospital.gr,210 4328237,2024-08-26,Ιατρός
07079445783,Αστέριος,Ευταξιάς,31,asterios_eytaxias@hospital.gr,+306919349192,2025-07-30,Ιατρός
21046521057,Γαληνός,Λάτσκος,61,galinos.latskos@hospital.gr,2990818354,2025-04-01,Ιατρός
05056159470,Διονύσιος,Ζυγούρης,65,dionysios_zygoyris@hospital.gr,2105567409,2024-04-10,Ιατρός
20039428891,Αδάμ,Φουντζούλας,32,afoyntzoylas@hospital.gr,6944634283,2025-09-09,Ιατρός
27058235299,Ορέστης,Μυσιρλής,43,orestis.mysirlis@hospital.gr,2260706530,2024-10-07,Ιατρός
09077793434,Φιλιππία,Κοκκινίδου,48,filippia_kokkinidoy@hospital.gr,(+30) 2895 251005,2025-03-06,Ιατρός
03047764549,Μερκούριος,Ρέντας,49,mrentas@hospital.gr,6922347868,2025-08-10,Ιατρός
25086572696,Κασσιανή,Παναγιωτακοπούλου,60,kassiani.panagiotakopoyloy@hospital.gr,+30 2937 127247,2026-09-21,Ιατρός
25066070679,Χαραλαμπία,Λυρή,65,charalampia_lyri@hospital.gr,+30 2878 568974,2024-09-01,Ιατρός
21116234129,Ματρώνη,Τσώνη,63,matroni_tsoni@hospital.gr,6992 917 927,2025-02-02,Ιατρός
26026494790,Βελισσάριος,Σπανός,62,vspanos@hospital.gr,2620223262,2024-01-18,Ιατρός
05059061176,Χρυσοβαλάντιος,Κτενίδης,36,cktenidis@hospital.gr,2590 226076,2024-10-23,Ιατρός
20047493220,Γκίκας,Σπάλας,52,gkikas_spalas@hospital.gr,210 4456777,2025-05-07,Ιατρός
07119294567,Θεόφιλος,Γιαννακόπουλος,33,theofilos.giannakopoylos@hospital.gr,210 314 3864,2024-04-14,Ιατρός
06067883458,Ρηγούλα,Στεφάνου,47,rigoyla_stefanoy@hospital.gr,210 395 2214,2024-10-06,Ιατρός
10116142591,Ιούλιος,Περιστερόπουλος,64,iperisteropoylos@hospital.gr,210 718 5924,2025-05-29,Ιατρός
07067536585,Σέργιος,Κεσαλίδης,50,skesalidis@hospital.gr,2106783497,2024-09-15,Ιατρός
08066384048,Αρτεμισία,Διακουμή,62,artemisia_diakoymi@hospital.gr,28130 67 279,2025-04-29,Ιατρός
07077275306,Χάιδω,Καλογιάννη,53,chaido_kalogianni@hospital.gr,6937 232 175,2026-03-12,Ιατρός
25067470203,Γιάννης,Δρακόπουλος,51,giannis_drakopoylos@hospital.gr,6984 886 792,2024-08-06,Ιατρός
07017336764,Δαμιανός,Μητρόπουλος,53,dmitropoylos@hospital.gr,2404013195,2025-10-15,Ιατρός
26056031201,Πολύκαρπος,Κουλίζος,65,pkoylizos@hospital.gr,210 6831778,2025-09-29,Ιατρός
