ΑΜΚΑ_ΑΤΟΜΟΥ,ΑΜΚΑ_ΑΣΘΕΝΗ,ΟΝΟΜΑ,ΕΠΩΝΥΜΟ,ΔΙΕΥΘΥΝΣΗ,ΤΗΛΕΦΩΝΟ,ΒΑΘΜΟΣ_ΣΥΓΓΕΝΕΙΑΣ
05110510786,13102117063,Ιάσων,Ρήνος,"Μάλαμα 716,, 652 63 Πύργος",2966088127,Αδελφός/ή
18057353079,19100625708,Φωκίων,Στοφοριάδης,"Αργίλου 82-20,, 026 31 Ιωάννινα",(+30) 2866 502434,Γονέας
07114598341,08093753810,Συμεωνία,Ζαραφέτας,"Πάρ. Αμοργιανών 11-07,, 937 88 Έδεσσα",2560 419 149,Τέκνο
10046144267,24017338861,Λάσκαρης,Καρανάνου,"Επισκοπής 26,, 19019 Έδεσσα",29700 59 588,Αδελφός/ή
23030645795,04109264197,Άρης,Σκαρπέτας,"Πάρ. Φιλιατρών 822-249,, 77075 Μυτιλήνη",2890 135 770,Σύζυγος
30085447560,09013516443,Ταξιαρχία,Κουτουζίδου,"Χανδρινού 509,, 01993 Ερμούπολη",2101108558,Σύζυγος
05079084757,12086216912,Δαμιανός,Φουντζούλας,"Λάκκων 04,, 51236 Αλεξανδρούπολη",+30 6910 738289,Σύζυγος
16067876907,22020248631,Ισιδώρα,Αραπίδου,"Κώτα 12,, ΤΚ 44895 Λάρισα",2120 508487,Τέκνο
01087426939,18085856441,Ιακωβίνα,Τσώνης,"Αρχαίας Κορίνθου 2,, ΤΚ 624 05 Χίος",+30 2747 807225,Τέκνο
14056321594,18077100903,Ανανίας,Γκιολδελής,"Αντικαλάμου 879,, 56416 Ρόδος",210 823 1402,Γονέας
16019434968,14094726978,Πούλια,Λιανάκης,"Λιναριάς 8,, ΤΚ 99846 Κέρκυρα",2380 686 856,Σύζυγος
24105173909,07037900502,Μενέλαος,Βούλκος,"Κατσούλα 8,, 88083 Λευκάδα",6982 912 170,Γονέας
18039559967,20128544273,Άρτεμις,Μανωλάκης,"Πάροδος Πουλάτων 096-201,, 60526 Κομοτηνή",(+30) 6929 272128,Τέκνο
24019628722,21129731416,Γαβριήλ,Χατζησταυράκης,"Κερασόβου 758,, 19557 Ιωάννινα",25040 45 542,Σύζυγος
26060413091,25013826893,Δανιήλ,Κασμιρλή,"Δρίβα 74,, 73528 Αθήνα",2101275679,Τέκνο
29119234846,21035161198,Χαράλαμπος,Βερβερίδου,"Σγουροκεφαλίου 166,, 07154 Κομοτηνή",(+30) 2300 305376,Σύζυγος
31015399310,21057697037,Μαριλένα,Γρηγορίου,"Βαρδαλής 686,, 031 06 Άρτα",210 104 9598,Αδελφός/ή
09090584661,04030957761,Κομνηνός,Παπαδημητροπούλου,"Ασωπού 49-25,, 532 31 Ζάκυνθος",2104550928,Αδελφός/ή
13107081739,10037365113,Έκτορας,Δαΐκου,"Ελευθερίου 803,, ΤΚ 913 50 Τρίκαλα",210 022 6937,Αδελφός/ή
05065744500,20102079787,Δαμιανός,Καραντάνα,"Πέτση 7,, 74989 Μεσολόγγι",6983 821447,Αδελφός/ή
07086596663,23010463694,Θρασύβουλος,Μαργαριτάκη,"Αγίου Προκοπίου 2,, ΤΚ 83613 Ερμούπολη",2107250913,Τέκνο
04106946439,29089762088,Χρυσοβαλάντιος,Θεοδοσίου,"Κυριαννάκη 2,, ΤΚ 34290 Φλώρινα",25870 19 749,Τέκνο
01045817339,26119959513,Μαντώ,Χαβρεδάκης,"Γιαννιτσών 2,, 68657 Ναύπλιο",(+30) 6952 551144,Τέκνο
03085421109,15109647602,Ιουλιανός,Τερζής,"Δούκα 7,, 88244 Τρίπολη",+30 2477 529004,Τέκνο
11094630453,23057639999,Διομήδης,Μιχαλέλλης,"Λαύκου 84-85,, 75690 Ζάκυνθος",2103781691,Σύζυγος
25035851128,02029458474,Δροσιά,Κυργιά,"Αγίας Σωτήρας 00,, 72052 Κομοτηνή",210 367 9087,Γονέας
27015661057,05043411746,Αιμιλιανός,Φασουλή,"Πάρ. Περατιάς 64,, 048 69 Φλώρινα",+30 6935 586785,Αδελφός/ή
26106471847,09031281255,Επαμεινώνδας,Κανταρελή,"Κατούνας 10,, 455 27 Χαλκίδα",+30 2871 006037,Τέκνο
06035015897,05061005884,Περικλής,Μπεσύρη,"Παλαιοκαρυάς 10,, 29033 Χαλκίδα",23680 05 890,Αδελφός/ή
24119188752,30016754852,Αγάθη,Στυλιανίδου,"Βαλιάκα 001,, 70920 Κατερίνη",6940 405 621,Αδελφός/ή
