+--------------------------------+-----------------------+----------------------------+------------------------------------+---------------------------+----------------+
| ΑΜΚΑ_ΙΑΤΡΟΥ_ΒΑΣΗ               | ΑΜΚΑ_ΕΠΟΠΤΗ           | ΟΝΟΜΑ                      | ΕΠΩΝΥΜΟ                            | ΒΑΘΜΙΔΑ                   | ΕΠΙΠΕΔΟ        |
+--------------------------------+-----------------------+----------------------------+------------------------------------+---------------------------+----------------+
| 01037388137                    | 09086339506           | Πολυχρόνιος                | Λαμπρινός                          | Επιμελητής Β΄             |              1 |
| 01067034797                    | 10049339021           | Ιουλία                     | Ξενάκη                             | Διευθυντής                |              1 |
| 01106243193                    | 27128258264           | Αλκιβιάδης                 | Χριστακόπουλος                     | Διευθυντής                |              1 |
| 01116795379                    | 29108560370           | Αλκινόη                    | Κυριάκου                           | Επιμελητής Β΄             |              1 |
| 01116795379                    | 21058886484           | Ερωφίλη                    | Παπαευαγγελίου                     | Επιμελητής Α΄             |              2 |
| 01118177001                    | 16026175423           | Ναπολέων                   | Αποστολίδης                        | Επιμελητής Α΄             |              1 |
| 02027269680                    | 11056469167           | Ρήγας                      | Ελευθερίου                         | Επιμελητής Β΄             |              1 |
| 02027269680                    | 16068231840           | Διογένης                   | Λυμπέρης                           | Επιμελητής Α΄             |              2 |
| 02037315143                    | 05028780133           | Μαρίνα                     | Δουκίδου                           | Επιμελητής Β΄             |              1 |
| 02037315143                    | 27048112412           | Ηώ                         | Πυροβόλου                          | Επιμελητής Α΄             |              2 |
| 02038241361                    | 28066542300           | Αλέξανδρος                 | Θεοδωρόπουλος                      | Διευθυντής                |              1 |
| 02078132211                    | 30098094539           | Αλκιβιάδης                 | Δακαναλής                          | Επιμελητής Α΄             |              1 |
| 02126123064                    | 25097666228           | Ναταλίνα                   | Οικονόμου                          | Διευθυντής                |              1 |
| 03019313683                    | 11128010304           | Κερασιά                    | Καλαθά                             | Διευθυντής                |              1 |
| 03068696828                    | 30039041839           | Ήλια                       | Πιπερίδη                           | Επιμελητής Α΄             |              1 |
| 03078435427                    | 25097666228           | Ναταλίνα                   | Οικονόμου                          | Διευθυντής                |              1 |
| 03116834526                    | 01069668547           | Κρινιώ                     | Μάρα                               | Επιμελητής Α΄             |              1 |
| 03119254533                    | 28069770513           | Θεμιστόκλεια               | Πετράκη                            | Επιμελητής Α΄             |              1 |
| 04018809244                    | 26077563312           | Ζαχαρίας                   | Σκρίμπας                           | Επιμελητής Β΄             |              1 |
| 04018809244                    | 14107891578           | Φανούριος                  | Περδίκης                           | Επιμελητής Α΄             |              2 |
| 04027926998                    | 07129234335           | Θεοπίστη                   | Γκόνη                              | Διευθυντής                |              1 |
